2015/01/25 11:36:09 [crit] 27544#0: *341 connect() to unix:/var/run/php5-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 66.249.67.91, server: archertroy.eamexicano.com, request: "GET /robots.txt HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "archertroy.eamexicano.com"
2015/02/23 04:16:41 [warn] 10597#0: *40743 an upstream response is buffered to a temporary file /var/lib/nginx/fastcgi/2/15/0000000152 while reading upstream, client: 201.141.193.117, server: archertroy.eamexicano.com, request: "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,schedule,wp-ajax-response,autosave,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,sugg&load%5B%5D=est,jquery-ui-core,jquery-ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,heartbeat,post,editor-expand,thickbox,underscore,&load%5B%5D=shortcode,backbone,wp-util,wp-backbone,media-models,wp-plupload,mediaelement,wp-mediaelement,media-views,media-editor,media-audi&load%5B%5D=ovideo,wp-playlist,mce-view,imgareaselect,image-edit,svg-painter,wp-auth-check,jquery-ui-position,jquery-ui-menu,jquery-ui-autoc&load%5B%5D=omplete,word-count,editor,wplink,wp-fullscreen,media-upload&ver=4.0.1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit"
2015/02/23 04:17:29 [warn] 10597#0: *40762 a client request body is buffered to a temporary file /var/lib/nginx/body/0000000153, client: 201.141.193.117, server: archertroy.eamexicano.com, request: "POST /wp-admin/post.php HTTP/1.1", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit"
2015/02/23 04:20:40 [warn] 10597#0: *40789 a client request body is buffered to a temporary file /var/lib/nginx/body/0000000154, client: 201.141.193.117, server: archertroy.eamexicano.com, request: "POST /wp-admin/post.php HTTP/1.1", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit&message=1"
2015/02/23 04:26:36 [warn] 10597#0: *40831 a client request body is buffered to a temporary file /var/lib/nginx/body/0000000155, client: 201.141.193.117, server: archertroy.eamexicano.com, request: "POST /wp-admin/post.php HTTP/1.1", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit"
2015/02/23 04:28:11 [warn] 10597#0: *40842 a client request body is buffered to a temporary file /var/lib/nginx/body/0000000156, client: 201.141.193.117, server: archertroy.eamexicano.com, request: "POST /wp-admin/post.php HTTP/1.1", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit&message=1"
2015/02/23 04:31:01 [warn] 10594#0: *40863 a client request body is buffered to a temporary file /var/lib/nginx/body/0000000157, client: 201.141.193.117, server: archertroy.eamexicano.com, request: "POST /wp-admin/post.php HTTP/1.1", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit&message=1"
2015/02/23 05:07:32 [warn] 10598#0: *40998 an upstream response is buffered to a temporary file /var/lib/nginx/fastcgi/8/15/0000000158 while reading upstream, client: 201.141.193.117, server: archertroy.eamexicano.com, request: "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,schedule,wp-ajax-response,autosave,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,sugg&load%5B%5D=est,jquery-ui-core,jquery-ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,heartbeat,post,editor-expand,thickbox,underscore,&load%5B%5D=shortcode,backbone,wp-util,wp-backbone,media-models,wp-plupload,mediaelement,wp-mediaelement,media-views,media-editor,media-audi&load%5B%5D=ovideo,wp-playlist,mce-view,imgareaselect,image-edit,svg-painter,wp-auth-check,jquery-ui-position,jquery-ui-menu,jquery-ui-autoc&load%5B%5D=omplete,word-count,editor,wplink,wp-fullscreen,media-upload&ver=4.0.1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit&message=1"
2015/02/24 20:06:05 [warn] 10599#0: *48995 an upstream response is buffered to a temporary file /var/lib/nginx/fastcgi/4/26/0000000264 while reading upstream, client: 201.141.197.53, server: archertroy.eamexicano.com, request: "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,heartbeat,autosave,wp-ajax-response,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,sug&load%5B%5D=gest,jquery-ui-core,jquery-ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,post,editor-expand,thickbox,underscore,shortcode&load%5B%5D=,backbone,wp-util,wp-backbone,media-models,wp-plupload,mediaelement,wp-mediaelement,media-views,media-editor,media-audiovideo,wp&load%5B%5D=-playlist,mce-view,imgareaselect,image-edit,svg-painter,wp-auth-check,jquery-ui-position,jquery-ui-menu,jquery-ui-autocomplete,w&load%5B%5D=p-pointer,word-count,editor,wplink,media-upload&ver=4.1.1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=547&action=edit"
2015/02/24 20:06:22 [warn] 10586#0: *49012 an upstream response is buffered to a temporary file /var/lib/nginx/fastcgi/5/26/0000000265 while reading upstream, client: 201.141.197.53, server: archertroy.eamexicano.com, request: "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,heartbeat,autosave,wp-ajax-response,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,sug&load%5B%5D=gest,jquery-ui-core,jquery-ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,post,editor-expand,thickbox,underscore,shortcode&load%5B%5D=,backbone,wp-util,wp-backbone,media-models,wp-plupload,mediaelement,wp-mediaelement,media-views,media-editor,media-audiovideo,wp&load%5B%5D=-playlist,mce-view,imgareaselect,image-edit,svg-painter,wp-auth-check,jquery-ui-position,jquery-ui-menu,jquery-ui-autocomplete,w&load%5B%5D=ord-count,editor,wplink,media-upload&ver=4.1.1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=157&action=edit"
2015/02/24 20:06:28 [warn] 10586#0: *49012 a client request body is buffered to a temporary file /var/lib/nginx/body/0000000266, client: 201.141.197.53, server: archertroy.eamexicano.com, request: "POST /wp-admin/post.php HTTP/1.1", host: "archertroy.eamexicano.com", referrer: "http://archertroy.eamexicano.com/wp-admin/post.php?post=157&action=edit"
